county,year,value
Henry,2023,12.624712202609361
Henry,2024,12.277377794619174
Houston,2018,10.204081632653061
Houston,2019,10.088148873653282
Houston,2020,11.29032258064516
Houston,2021,10.879511947127606
Houston,2022,13.419293218720153
Houston,2023,10.986874088478366
Houston,2024,11.793611793611793
Irwin,2018,10.909090909090908
Irwin,2019,17.117117117117118
Irwin,2020,16.363636363636363
Irwin,2021,10.1010101010101
Irwin,2022,10
Irwin,2023,9.473684210526317
Irwin,2024,18.75
Jackson,2018,10.175438596491228
Jackson,2019,9.608938547486034
Jackson,2020,8.098987626546682
Jackson,2021,9.959758551307846
Jackson,2022,11.317073170731708
Jackson,2023,11.365719523373052
Jackson,2024,10.344827586206897
Jasper,2018,11.18421052631579
Jasper,2019,13.513513513513514
Jasper,2020,14.482758620689657
Jasper,2021,10.596026490066226
Jasper,2022,11.76470588235294
Jasper,2023,16.93121693121693
Jasper,2024,15.340909090909092
Jeff Davis,2018,11.299435028248588
Jeff Davis,2019,7.655502392344498
Jeff Davis,2020,15.873015873015872
Jeff Davis,2021,10.69182389937107
Jeff Davis,2022,8.982035928143713
Jeff Davis,2023,10.227272727272728
Jeff Davis,2024,11.881188118811881
Jefferson,2018,14.432989690721648
Jefferson,2019,9.13978494623656
Jefferson,2020,14.792899408284024
Jefferson,2021,14.37908496732026
Jefferson,2022,10.909090909090908
Jefferson,2023,15.568862275449103
Jefferson,2024,7.2992700729927
Jenkins,2018,21.49532710280374
Jenkins,2019,19.78021978021978
Jenkins,2020,15.555555555555555
Jenkins,2021,16.129032258064516
Jenkins,2022,20.43010752688172
Jenkins,2023,11.235955056179774
Jenkins,2024,12.658227848101266
Johnson,2018,11
Johnson,2019,10.619469026548673
Johnson,2020,12.244897959183673
Johnson,2021,7.142857142857142
Johnson,2022,9.278350515463918
Johnson,2023,11
Johnson,2024,10.112359550561797
Jones,2018,14.285714285714285
Jones,2019,13.148788927335639
Jones,2020,13.074204946996467
Jones,2021,10.431654676258994
Jones,2022,12.5
Jones,2023,10.759493670886076
Jones,2024,12.203389830508476
Lamar,2018,24.774774774774773
Lamar,2019,12.037037037037036
Lamar,2020,11.11111111111111
Lamar,2021,11.210762331838566
Lamar,2022,13.043478260869565
Lamar,2023,10.245901639344263
Lamar,2024,15.283842794759824
Lanier,2018,21.09375
Lanier,2019,11.180124223602485
Lanier,2020,8.148148148148149
Lanier,2021,16.33986928104575
Lanier,2022,12.195121951219512
Lanier,2023,12
Lanier,2024,16.89189189189189
Laurens,2018,11.378205128205128
Laurens,2019,10.551181102362204
Laurens,2020,11.913357400722022
Laurens,2021,10.833333333333334
Laurens,2022,12.984822934232715
Laurens,2023,13.291139240506327
