county,year,value
Chattahoochee,2018,28.888888888888886
Chattahoochee,2019,20.869565217391305
Chattahoochee,2020,17.02127659574468
Chattahoochee,2021,28.971962616822427
Chattahoochee,2022,30.18867924528302
Chattahoochee,2023,34.40860215053764
Chattahoochee,2024,32.89473684210527
Chattooga,2018,21.511627906976745
Chattooga,2019,31.666666666666664
Chattooga,2020,28.859060402684566
Chattooga,2021,29.53020134228188
Chattooga,2022,25.49019607843137
Chattooga,2023,26.119402985074625
Chattooga,2024,31.57894736842105
Cherokee,2018,21.79720704310868
Cherokee,2019,22.341696535244925
Cherokee,2020,22.961513372472275
Cherokee,2021,24.261725535610886
Cherokee,2022,22.781065088757398
Cherokee,2023,25.649717514124294
Cherokee,2024,26.3395375070502
Clarke,2018,29.42028985507246
Clarke,2019,25.771604938271604
Clarke,2020,25.83201267828843
Clarke,2021,24.663677130044842
Clarke,2022,26.656626506024097
Clarke,2023,28.30820770519263
Clarke,2024,22.703639514731368
Clay,2018,-5
Clay,2019,-5
Clay,2020,-5
Clay,2021,0
Clay,2022,-5
Clay,2023,0
Clay,2024,46.15384615384615
Clayton,2018,24.595055413469737
Clayton,2019,24.25124792013311
Clayton,2020,26.913155631986243
Clayton,2021,23.838737949167395
Clayton,2022,22.503328894806923
Clayton,2023,23.26007326007326
Clayton,2024,24.54835281615303
Clinch,2018,25
Clinch,2019,21.428571428571427
Clinch,2020,38.333333333333336
Clinch,2021,33.92857142857143
Clinch,2022,41.07142857142857
Clinch,2023,31.25
Clinch,2024,28.26086956521739
Cobb,2018,22.97212324460281
Cobb,2019,21.61141418380193
Cobb,2020,22.138228941684666
Cobb,2021,20.228281547241597
Cobb,2022,21.668081494057727
Cobb,2023,21.799010114052074
Cobb,2024,23.687484448867878
Coffee,2018,29.595015576323984
Coffee,2019,22.875816993464053
Coffee,2020,23.432343234323433
Coffee,2021,24.914675767918087
Coffee,2022,29.276315789473685
Coffee,2023,27.75800711743772
Coffee,2024,23.875432525951556
Colquitt,2018,24.396135265700483
Colquitt,2019,26.900584795321635
Colquitt,2020,22.97979797979798
Colquitt,2021,26.109660574412537
Colquitt,2022,25
Colquitt,2023,32.27665706051873
Colquitt,2024,22.888283378746593
Columbia,2018,21.32616487455197
Columbia,2019,21.32701421800948
Columbia,2020,21.44748455428067
Columbia,2021,22.70663033605813
Columbia,2022,21.793721973094172
Columbia,2023,23.91304347826087
Columbia,2024,22.04724409448819
Cook,2018,25.547445255474454
Cook,2019,24.817518248175183
Cook,2020,24.242424242424242
Cook,2021,27.40740740740741
Cook,2022,29.1044776119403
Cook,2023,34.05797101449276
Cook,2024,27.941176470588236
Coweta,2018,21.397849462365592
Coweta,2019,22.06035379812695
Coweta,2020,21.28654970760234
Coweta,2021,24.946004319654428
Coweta,2022,24.97451580020387
Coweta,2023,24.63465553235908
Coweta,2024,25.952626158599383
Crawford,2018,25.333333333333336
Crawford,2019,17.94871794871795
Crawford,2020,25.675675675675674
Crawford,2021,21.875
Crawford,2022,20.51282051282051
Crawford,2023,25
Crawford,2024,22.950819672131146
Crisp,2018,27.54491017964072
Crisp,2019,21.192052980132452
Crisp,2020,26.82926829268293
Crisp,2021,28.666666666666668
Crisp,2022,29.629629629629626
Crisp,2023,22.69503546099291
Crisp,2024,28.78787878787879
Dade,2018,25
Dade,2019,31.746031746031743
Dade,2020,25.64102564102564
Dade,2021,26.785714285714285
Dade,2022,17.741935483870968
Dade,2023,17.02127659574468
Dade,2024,19.642857142857142
Dawson,2018,24.489795918367346
Dawson,2019,17.901234567901234
Dawson,2020,27.10843373493976
Dawson,2021,17.058823529411764
Dawson,2022,27.37430167597765
Dawson,2023,25.263157894736842
Dawson,2024,25.2
Decatur,2018,30.962343096234306
Decatur,2019,30.357142857142854
Decatur,2020,27.966101694915253
Decatur,2021,23.618090452261306
Decatur,2022,26.027397260273972
Decatur,2023,28.333333333333332
Decatur,2024,27.927927927927925
DeKalb,2018,24.06027768371148
DeKalb,2019,25.38860103626943
DeKalb,2020,21.435092203761183
DeKalb,2021,22.98744460856721
DeKalb,2022,23.042304230423042
DeKalb,2023,22.95275590551181
DeKalb,2024,22.495606326889277
Dodge,2018,22.22222222222222
Dodge,2019,28.799999999999997
Dodge,2020,30.833333333333336
Dodge,2021,27.027027027027028
Dodge,2022,36
Dodge,2023,24.427480916030532
Dodge,2024,38.31775700934579
Dooly,2018,32.25806451612903
Dooly,2019,25.71428571428571
Dooly,2020,28.8135593220339
Dooly,2021,23.728813559322035
Dooly,2022,21.875
Dooly,2023,20.634920634920633
Dooly,2024,23.076923076923077
Dougherty,2018,25.65880721220527
Dougherty,2019,26.859504132231404
Dougherty,2020,26.431718061674008
Dougherty,2021,25.948406676783005
Dougherty,2022,25.908372827804104
Dougherty,2023,29.793977812995248
Dougherty,2024,25.080906148867317
Douglas,2018,24.898785425101213
